,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,outlier_check
0,0.7,0.0,1.9,0.076,11.0,34.0,3.51,0.56,9.4,5,0
1,0.88,0.0,2.6,0.098,25.0,67.0,3.2,0.68,9.8,5,0
2,0.76,0.04,2.3,0.092,15.0,54.0,3.26,0.65,9.8,5,0
3,0.28,0.56,1.9,0.075,17.0,60.0,3.16,0.58,9.8,6,0
4,0.7,0.0,1.9,0.076,11.0,34.0,3.51,0.56,9.4,5,0
5,0.66,0.0,1.8,0.075,13.0,40.0,3.51,0.56,9.4,5,0
6,0.6,0.06,1.6,0.069,15.0,59.0,3.3,0.46,9.4,5,0
7,0.65,0.0,1.2,0.065,15.0,21.0,3.39,0.47,10.0,7,0
8,0.58,0.02,2.0,0.073,9.0,18.0,3.36,0.57,9.5,7,0
9,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,10.5,5,1
10,0.58,0.08,1.8,0.09699999999999999,15.0,65.0,3.28,0.54,9.2,5,0
11,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,10.5,5,1
12,0.615,0.0,1.6,0.08900000000000001,16.0,59.0,3.58,0.52,9.9,5,0
13,0.61,0.29,1.6,0.114,9.0,29.0,3.26,1.56,9.1,5,1
14,0.62,0.18,3.8,0.17600000000000002,52.0,145.0,3.16,0.88,9.2,5,4
15,0.62,0.19,3.9,0.17,51.0,148.0,3.17,0.93,9.2,5,4
16,0.28,0.56,1.8,0.092,35.0,103.0,3.3,0.75,10.5,7,0
17,0.56,0.28,1.7,0.368,16.0,56.0,3.11,1.28,9.3,5,2
18,0.59,0.08,4.4,0.086,6.0,29.0,3.38,0.5,9.0,4,1
19,0.32,0.51,1.8,0.341,17.0,56.0,3.04,1.08,9.2,6,2
20,0.22,0.48,1.8,0.077,29.0,60.0,3.39,0.53,9.4,6,0
21,0.39,0.31,2.3,0.08199999999999999,23.0,71.0,3.52,0.65,9.7,5,0
22,0.43,0.21,1.6,0.106,10.0,37.0,3.17,0.91,9.5,5,0
23,0.49,0.11,2.3,0.084,9.0,67.0,3.17,0.53,9.4,5,0
24,0.4,0.14,2.4,0.085,21.0,40.0,3.43,0.63,9.7,6,0
25,0.39,0.16,1.4,0.08,11.0,23.0,3.34,0.56,9.3,5,0
26,0.41,0.24,1.8,0.08,4.0,11.0,3.28,0.59,9.5,5,0
27,0.43,0.21,1.6,0.106,10.0,37.0,3.17,0.91,9.5,5,0
28,0.71,0.0,1.9,0.08,14.0,35.0,3.47,0.55,9.4,5,0
29,0.645,0.0,2.0,0.08199999999999999,8.0,16.0,3.38,0.59,9.8,6,0
30,0.675,0.07,2.4,0.08900000000000001,17.0,82.0,3.35,0.54,10.1,5,0
31,0.685,0.0,2.5,0.105,22.0,37.0,3.46,0.57,10.6,6,0
32,0.655,0.12,2.3,0.083,15.0,113.0,3.17,0.66,9.8,5,0
33,0.605,0.12,10.7,0.073,40.0,83.0,3.45,0.52,9.4,6,1
34,0.32,0.25,1.8,0.10300000000000001,13.0,50.0,3.38,0.55,9.2,5,0
35,0.645,0.0,5.5,0.086,5.0,18.0,3.4,0.55,9.6,6,1
36,0.6,0.14,2.4,0.086,3.0,15.0,3.42,0.6,10.8,6,0
37,0.38,0.28,2.1,0.066,13.0,30.0,3.23,0.73,9.7,7,0
38,1.13,0.09,1.5,0.172,7.0,19.0,3.5,0.48,9.8,4,2
39,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,3.33,0.83,10.5,5,1
40,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,3.33,0.83,10.5,5,1
41,0.61,0.3,2.8,0.08800000000000001,17.0,46.0,3.26,0.51,9.3,4,0
42,0.49,0.2,2.6,0.332,8.0,14.0,3.21,0.9,10.5,6,1
43,0.66,0.22,2.2,0.069,9.0,23.0,3.3,1.2,10.3,5,1
44,0.67,0.02,1.8,0.05,5.0,11.0,3.48,0.52,9.5,5,0
45,0.52,0.15,2.1,0.054000000000000006,8.0,65.0,3.9,0.56,13.1,4,1
46,0.935,0.43,2.2,0.114,22.0,114.0,3.25,0.73,9.2,5,0
47,0.29,0.52,1.6,0.113,12.0,37.0,3.25,0.58,9.5,5,0
48,0.4,0.23,1.6,0.066,5.0,12.0,3.34,0.56,9.2,5,0
49,0.31,0.37,1.4,0.07400000000000001,12.0,96.0,3.32,0.58,9.2,5,0
50,0.66,0.26,1.7,0.07400000000000001,4.0,23.0,3.15,0.74,9.2,5,0
51,0.52,0.04,2.2,0.069,8.0,15.0,3.4,0.63,9.4,6,0
52,0.5,0.04,2.1,0.068,6.0,14.0,3.39,0.64,9.4,6,0
53,0.38,0.36,3.0,0.081,30.0,119.0,3.2,0.56,9.4,5,0
54,0.51,0.15,2.8,0.11,33.0,73.0,3.17,0.63,10.2,6,0
55,0.62,0.04,3.8,0.084,25.0,45.0,3.34,0.53,9.5,5,1
56,0.42,0.57,3.4,0.07,4.0,10.0,3.04,0.63,9.6,5,0
57,0.63,0.12,5.1,0.111,50.0,110.0,3.26,0.77,9.4,5,2
58,0.59,0.18,2.3,0.076,17.0,54.0,3.43,0.59,10.0,5,0
59,0.39,0.31,2.4,0.07400000000000001,9.0,46.0,3.41,0.54,9.4,6,0
60,0.4,0.4,2.2,0.079,19.0,52.0,3.44,0.64,9.2,5,0
61,0.69,0.49,1.8,0.115,20.0,112.0,3.21,0.71,9.3,5,0
62,0.52,0.16,1.9,0.085,12.0,35.0,3.38,0.62,9.5,7,0
63,0.735,0.05,2.0,0.081,13.0,54.0,3.39,0.57,9.8,5,0
64,0.725,0.05,4.65,0.086,4.0,11.0,3.41,0.39,10.9,5,1
65,0.725,0.05,4.65,0.086,4.0,11.0,3.41,0.39,10.9,5,1
66,0.52,0.11,1.5,0.079,11.0,39.0,3.42,0.58,9.6,5,0
67,0.705,0.07,1.6,0.076,6.0,15.0,3.44,0.58,10.7,5,0
68,0.32,0.57,2.0,0.07400000000000001,27.0,65.0,3.28,0.79,10.7,5,0
69,0.705,0.05,1.9,0.07400000000000001,8.0,19.0,3.34,0.95,10.5,6,0
70,0.63,0.08,1.9,0.076,15.0,27.0,3.32,0.54,9.5,6,0
71,0.67,0.23,2.1,0.08800000000000001,17.0,96.0,3.32,0.48,9.5,5,0
72,0.69,0.22,1.9,0.084,18.0,94.0,3.31,0.48,9.5,5,0
73,0.675,0.26,2.1,0.084,11.0,43.0,3.31,0.53,9.2,4,0
74,0.32,0.54,2.5,0.094,28.0,83.0,3.28,0.82,9.6,5,0
75,0.41,0.64,2.2,0.09300000000000001,9.0,42.0,3.54,0.66,10.5,5,0
76,0.41,0.64,2.2,0.09300000000000001,9.0,42.0,3.54,0.66,10.5,5,0
77,0.785,0.0,2.4,0.10400000000000001,14.0,30.0,3.52,0.55,10.7,6,0
78,0.75,0.12,2.0,0.086,12.0,80.0,3.38,0.52,10.1,5,0
79,0.625,0.2,1.5,0.08,27.0,119.0,3.16,1.12,9.1,4,1
80,0.45,0.2,1.6,0.069,3.0,15.0,3.41,0.56,9.2,5,0
81,0.43,0.7,1.9,0.46399999999999997,22.0,67.0,3.13,1.28,9.4,5,2
82,0.5,0.47,2.0,0.086,21.0,73.0,3.36,0.57,9.1,5,0
83,0.67,0.26,1.8,0.401,16.0,51.0,3.16,1.14,9.4,5,2
84,0.3,0.48,1.8,0.069,18.0,61.0,3.44,0.78,10.3,6,0
85,0.55,0.15,2.2,0.076,19.0,40.0,3.41,0.59,10.1,5,0
86,0.49,0.28,1.9,0.11,20.0,136.0,2.93,1.95,9.9,6,2
87,0.49,0.26,1.9,0.062,9.0,31.0,3.39,0.64,9.6,5,0
88,0.39,0.44,2.1,0.107,34.0,125.0,3.14,1.22,9.5,5,2
89,0.62,0.08,1.8,0.076,8.0,24.0,3.48,0.53,9.0,5,0
90,0.52,0.26,1.9,0.079,42.0,140.0,3.23,0.54,9.5,5,1
91,0.49,0.28,1.9,0.11,20.0,136.0,2.93,1.95,9.9,6,2
92,0.49,0.29,2.0,0.11,19.0,133.0,2.93,1.98,9.8,5,2
93,0.49,0.26,1.9,0.062,9.0,31.0,3.39,0.64,9.6,5,0
94,1.02,0.04,1.4,0.045,41.0,85.0,3.75,0.48,10.5,4,1
95,0.6,0.17,2.3,0.057999999999999996,17.0,106.0,3.85,0.6,12.9,6,1
96,0.775,0.0,3.0,0.102,8.0,23.0,3.45,0.56,10.7,5,0
97,0.5,0.25,2.0,0.07,3.0,22.0,3.25,0.63,9.2,5,0
98,0.9,0.06,2.5,0.079,5.0,10.0,3.39,0.56,9.8,5,0
99,0.545,0.18,1.9,0.08,13.0,35.0,3.3,0.59,9.0,6,0
100,0.61,0.3,2.1,0.084,11.0,50.0,3.4,0.61,10.2,6,0
101,0.5,0.3,1.9,0.075,8.0,22.0,3.31,0.56,10.4,6,0
102,0.545,0.18,1.9,0.08,13.0,35.0,3.3,0.59,9.0,6,0
103,0.575,0.22,2.1,0.077,12.0,65.0,3.29,0.51,9.2,5,0
104,0.49,0.24,2.2,0.07,5.0,36.0,3.33,0.48,9.4,5,0
105,0.575,0.22,2.1,0.077,12.0,65.0,3.29,0.51,9.2,5,0
106,0.41,0.68,1.7,0.467,18.0,69.0,3.08,1.31,9.3,5,2
107,0.63,0.31,1.7,0.08800000000000001,15.0,64.0,3.46,0.79,9.3,5,0
108,0.33,0.53,2.5,0.091,18.0,80.0,3.37,0.8,9.6,6,0
109,0.785,0.52,2.0,0.122,37.0,153.0,3.21,0.69,9.3,5,2
110,0.56,0.19,1.8,0.10400000000000001,12.0,47.0,3.19,0.93,9.5,5,0
111,0.62,0.09,2.2,0.084,11.0,108.0,3.15,0.66,9.8,5,0
112,0.6,0.1,2.2,0.085,14.0,111.0,3.15,0.66,9.8,5,0
113,0.31,0.44,2.3,0.08,22.0,46.0,3.32,0.67,9.7,6,0
114,0.56,0.19,1.8,0.10400000000000001,12.0,47.0,3.19,0.93,9.5,5,0
115,0.4,0.31,2.2,0.09,13.0,62.0,3.07,0.63,10.5,6,0
116,0.54,0.28,1.9,0.077,11.0,40.0,3.39,0.61,10.0,6,0
117,0.56,0.12,2.0,0.08199999999999999,7.0,28.0,3.37,0.5,9.4,6,0
118,0.55,0.04,2.2,0.11900000000000001,14.0,56.0,3.21,0.6,10.9,6,0
119,0.69,0.08,1.8,0.09699999999999999,22.0,89.0,3.34,0.54,9.2,6,0
120,1.07,0.09,1.7,0.17800000000000002,10.0,89.0,3.3,0.57,9.0,5,2
121,0.55,0.04,2.2,0.11900000000000001,14.0,56.0,3.21,0.6,10.9,6,0
122,0.695,0.0,2.5,0.075,3.0,13.0,3.49,0.52,9.2,5,0
123,0.71,0.0,2.6,0.08,11.0,34.0,3.44,0.53,9.5,5,0
124,0.5,0.17,1.6,0.08199999999999999,21.0,102.0,3.39,0.48,9.5,5,0
125,0.62,0.04,1.9,0.146,27.0,90.0,3.16,0.7,9.4,5,1
126,1.33,0.0,1.7,0.081,3.0,12.0,3.53,0.49,10.9,5,1
127,1.33,0.0,1.8,0.08199999999999999,3.0,12.0,3.54,0.48,10.9,5,1
128,0.59,0.16,1.8,0.065,3.0,16.0,3.42,0.92,10.5,7,0
129,0.38,0.15,1.8,0.07200000000000001,6.0,19.0,3.42,0.57,9.4,5,0
130,0.745,0.56,2.0,0.11800000000000001,30.0,134.0,3.24,0.66,9.4,5,1
131,0.5,0.09,2.3,0.049,17.0,99.0,3.63,0.63,13.0,5,0
132,0.5,0.09,2.3,0.049,17.0,99.0,3.63,0.63,13.0,5,0
133,0.5,0.01,1.5,0.06,17.0,26.0,3.4,0.58,9.8,6,0
134,1.04,0.05,2.2,0.084,13.0,29.0,3.22,0.55,9.9,6,1
135,0.745,0.11,1.9,0.09,16.0,63.0,3.19,0.82,9.6,5,0
136,0.715,0.15,1.8,0.08900000000000001,10.0,52.0,3.23,0.77,9.5,5,0
137,0.415,0.36,2.0,0.081,13.0,45.0,3.48,0.64,9.2,5,0
138,0.56,0.19,2.1,0.081,15.0,105.0,3.33,0.54,9.5,5,0
139,0.56,0.19,2.0,0.081,17.0,108.0,3.32,0.54,9.5,5,0
140,0.745,0.11,1.9,0.09,16.0,63.0,3.19,0.82,9.6,5,0
141,0.715,0.15,1.8,0.08900000000000001,10.0,52.0,3.23,0.77,9.5,5,0
142,0.34,0.0,1.8,0.05,27.0,63.0,3.68,0.79,14.0,6,1
143,0.39,0.08,1.7,0.066,3.0,20.0,3.34,0.58,9.4,5,0
144,0.34,0.0,1.8,0.05,27.0,63.0,3.68,0.79,14.0,6,1
145,0.67,0.55,1.8,0.11699999999999999,32.0,141.0,3.17,0.62,9.4,5,1
146,0.68,0.02,1.8,0.087,21.0,94.0,3.54,0.52,10.0,5,0
147,0.49,0.26,1.6,0.23600000000000002,10.0,88.0,3.11,0.8,9.3,5,1
148,0.49,0.1,2.3,0.07400000000000001,12.0,30.0,3.42,0.58,10.2,6,0
149,0.4,0.44,2.8,0.08900000000000001,11.0,43.0,3.53,0.61,10.5,6,0
150,0.33,0.47,2.1,0.077,5.0,11.0,3.33,0.53,10.3,6,0
151,0.52,1.0,3.4,0.61,32.0,69.0,2.74,2.0,9.4,4,4
152,0.6,0.03,1.8,0.095,25.0,99.0,3.35,0.54,10.1,5,0
153,0.6,0.03,1.8,0.095,25.0,99.0,3.35,0.54,10.1,5,0
154,0.43,0.42,5.5,0.07,29.0,129.0,3.42,0.72,10.5,5,2
155,0.43,0.42,5.5,0.071,28.0,128.0,3.42,0.71,10.5,5,2
156,0.43,0.42,5.5,0.07,29.0,129.0,3.42,0.72,10.5,5,2
157,0.43,0.42,5.5,0.071,28.0,128.0,3.42,0.71,10.5,5,2
158,0.68,0.0,2.2,0.073,12.0,22.0,3.48,0.5,9.3,5,0
159,0.6,0.18,1.9,0.079,18.0,86.0,3.59,0.57,9.3,6,0
160,0.95,0.03,2.0,0.09,7.0,20.0,3.2,0.56,9.6,5,0
161,0.68,0.02,1.3,0.07200000000000001,9.0,20.0,3.17,1.08,9.2,4,1
162,0.53,0.04,1.7,0.076,17.0,31.0,3.33,0.56,10.0,6,0
163,0.6,0.26,7.3,0.07,36.0,121.0,3.37,0.49,9.4,5,1
164,0.59,0.26,7.2,0.07,35.0,121.0,3.37,0.49,9.4,5,1
165,0.63,0.48,1.7,0.1,14.0,96.0,3.19,0.62,9.5,5,0
166,0.64,0.1,2.1,0.085,18.0,101.0,3.34,0.52,10.2,5,0
167,0.55,0.03,1.6,0.07200000000000001,17.0,42.0,3.37,0.48,9.0,4,0
168,0.63,0.07,2.1,0.08900000000000001,11.0,44.0,3.47,0.55,10.4,6,0
169,0.705,0.24,1.8,0.36,15.0,63.0,3.0,1.59,9.5,5,2
170,0.885,0.03,1.8,0.057999999999999996,4.0,8.0,3.36,0.33,9.1,4,0
171,0.42,0.17,2.0,0.073,6.0,18.0,3.29,0.61,9.2,6,0
172,0.42,0.17,2.0,0.073,6.0,18.0,3.29,0.61,9.2,6,0
173,0.62,0.05,1.9,0.068,24.0,42.0,3.42,0.57,11.5,6,0
174,0.38,0.21,2.0,0.08,7.0,35.0,3.33,0.47,9.5,5,0
175,0.5,0.04,1.5,0.085,19.0,49.0,3.35,0.78,9.5,5,0
176,0.38,0.21,2.0,0.08,7.0,35.0,3.33,0.47,9.5,5,0
177,0.52,0.42,2.3,0.087,8.0,38.0,3.58,0.61,10.5,6,0
178,0.805,0.0,2.5,0.068,7.0,20.0,3.48,0.56,9.6,5,0
179,0.61,0.14,2.4,0.067,10.0,42.0,3.19,0.59,9.5,5,0
180,0.61,0.14,2.4,0.067,10.0,42.0,3.19,0.59,9.5,5,0
181,0.61,0.49,2.0,0.27,23.0,110.0,3.12,1.02,9.3,5,2
182,0.73,0.02,2.5,0.076,16.0,42.0,3.44,0.52,9.3,5,0
183,0.61,0.2,1.8,0.077,11.0,65.0,3.54,0.58,9.3,5,0
184,0.62,0.21,1.9,0.079,8.0,62.0,3.52,0.58,9.3,6,0
185,0.31,0.57,2.0,0.111,26.0,85.0,3.26,0.53,9.7,5,0
186,0.39,0.48,2.0,0.08199999999999999,14.0,67.0,3.34,0.55,9.2,5,0
187,0.705,0.1,2.6,0.084,9.0,26.0,3.39,0.49,9.7,5,0
188,0.5,0.33,2.0,0.084,15.0,143.0,3.2,0.55,9.5,5,1
189,0.49,0.32,1.9,0.08199999999999999,17.0,144.0,3.2,0.55,9.5,5,1
190,0.5,0.35,2.9,0.077,21.0,127.0,3.23,0.62,9.4,5,1
191,0.37,0.25,1.9,0.07400000000000001,21.0,49.0,3.57,0.62,9.8,6,0
192,0.63,0.12,3.8,0.099,16.0,126.0,3.28,0.61,9.5,5,2
193,0.55,0.21,2.2,0.071,7.0,28.0,3.28,0.55,9.7,5,0
194,0.55,0.21,2.2,0.071,7.0,28.0,3.28,0.55,9.7,5,0
195,0.59,0.33,2.0,0.07400000000000001,24.0,120.0,3.25,0.54,9.4,5,0
196,0.58,0.3,2.4,0.07400000000000001,15.0,55.0,3.46,0.59,10.2,5,0
197,0.3,0.6,2.0,0.067,12.0,27.0,3.11,0.97,10.1,6,0
198,0.835,0.08,1.2,0.046,13.0,93.0,3.57,0.85,13.0,7,0
199,1.09,0.06,2.1,0.061,12.0,31.0,3.51,0.43,11.4,4,1
200,0.32,0.47,1.4,0.055999999999999994,9.0,24.0,3.22,0.82,10.3,7,0
201,0.37,0.48,2.1,0.09699999999999999,39.0,145.0,3.04,1.03,9.3,5,2
202,0.5,0.11,1.5,0.075,16.0,49.0,3.36,0.79,9.5,5,0
203,0.42,0.35,1.6,0.08800000000000001,16.0,39.0,3.34,0.55,9.2,5,0
204,0.43,0.36,1.6,0.08900000000000001,14.0,37.0,3.34,0.56,9.2,6,0
205,0.3,0.74,2.6,0.095,9.0,28.0,3.2,0.77,10.8,7,0
206,0.3,0.74,2.6,0.095,9.0,28.0,3.2,0.77,10.8,7,0
207,0.57,0.31,1.8,0.069,26.0,120.0,3.29,0.53,9.3,5,0
208,0.44,0.28,2.7,0.1,18.0,95.0,3.22,0.67,9.4,5,0
209,0.3,0.58,2.1,0.054000000000000006,7.0,19.0,3.31,0.88,10.5,7,0
210,0.53,0.6,2.0,0.039,5.0,19.0,3.3,0.86,12.4,6,1
211,0.725,0.24,2.8,0.083,10.0,62.0,3.35,0.56,10.0,6,0
212,0.44,0.64,2.1,0.059000000000000004,5.0,15.0,3.21,0.67,10.2,6,0
213,0.57,0.26,2.2,0.06,28.0,65.0,3.3,0.43,10.1,5,0
214,0.735,0.08,2.4,0.092,10.0,41.0,3.24,0.71,9.8,6,0
215,0.49,0.49,5.6,0.06,26.0,121.0,3.34,0.76,10.5,5,1
216,0.625,0.16,2.0,0.10099999999999999,13.0,49.0,3.14,0.57,11.0,5,0
217,0.725,0.22,2.2,0.07200000000000001,11.0,41.0,3.36,0.55,9.1,5,0
218,0.49,0.19,1.9,0.076,10.0,44.0,3.39,0.54,9.7,5,0
219,0.53,0.33,2.4,0.08,24.0,144.0,3.3,0.6,9.5,5,1
220,0.34,0.37,2.0,0.08199999999999999,24.0,58.0,3.34,0.59,9.4,6,0
221,0.53,0.26,2.0,0.10099999999999999,16.0,72.0,3.15,0.57,9.4,5,0
222,0.61,0.04,1.5,0.057,5.0,10.0,3.42,0.6,9.5,5,0
223,0.645,0.25,2.0,0.083,8.0,28.0,3.28,0.6,10.0,6,0
224,0.635,0.36,2.0,0.08900000000000001,15.0,55.0,3.31,0.57,10.4,4,0
225,0.43,0.25,2.6,0.073,29.0,63.0,3.37,0.58,10.5,6,0
226,0.59,0.5,2.0,0.337,27.0,81.0,3.04,1.61,9.5,6,2
227,0.82,0.14,2.6,0.08900000000000001,9.0,23.0,3.39,0.63,9.8,5,0
228,0.43,0.25,2.6,0.073,29.0,63.0,3.37,0.58,10.5,6,0
229,0.52,0.25,2.6,0.081,10.0,37.0,3.46,0.5,11.0,5,0
230,0.48,0.04,1.6,0.054000000000000006,19.0,106.0,3.54,0.62,12.2,7,0
231,0.38,0.06,1.8,0.078,12.0,49.0,3.37,0.52,9.9,6,0
232,0.37,0.2,2.8,0.09,18.0,58.0,3.34,0.7,9.6,6,0
233,0.52,0.25,2.6,0.081,10.0,37.0,3.46,0.5,11.0,5,0
234,1.0,0.09,2.3,0.065,7.0,37.0,3.32,0.55,9.0,6,0
235,0.63,0.0,1.9,0.09699999999999999,14.0,38.0,3.37,0.58,9.0,6,0
236,0.63,0.0,1.9,0.09699999999999999,14.0,38.0,3.37,0.58,9.0,6,0
237,0.645,0.0,1.9,0.09699999999999999,15.0,39.0,3.37,0.58,9.2,6,0
238,0.63,0.0,1.9,0.09699999999999999,14.0,38.0,3.37,0.58,9.0,6,0
239,1.0,0.09,2.3,0.065,7.0,37.0,3.32,0.55,9.0,6,0
240,0.635,0.37,1.7,0.263,5.0,62.0,3.0,1.09,9.3,5,2
241,0.38,0.56,2.1,0.09300000000000001,6.0,24.0,3.14,0.71,10.9,6,0
242,0.58,0.1,1.8,0.102,28.0,109.0,3.08,0.49,9.8,6,0
243,0.21,0.44,2.2,0.075,10.0,24.0,3.07,0.84,9.2,7,0
244,0.21,0.44,2.2,0.075,10.0,24.0,3.07,0.84,9.2,7,0
245,0.66,0.0,2.0,0.084,6.0,23.0,3.61,0.96,9.9,6,0
246,0.68,0.07,1.9,0.075,16.0,51.0,3.38,0.52,9.5,5,0
247,0.6,0.17,2.3,0.07200000000000001,11.0,73.0,3.2,0.45,9.3,5,0
248,0.53,0.06,1.7,0.07400000000000001,9.0,39.0,3.35,0.48,9.8,6,0
249,0.66,0.0,2.0,0.084,6.0,23.0,3.61,0.96,9.9,6,0
250,0.32,0.44,1.6,0.063,16.0,37.0,3.22,0.78,10.0,6,0
251,0.6,0.0,1.8,0.07400000000000001,16.0,34.0,3.47,0.7,9.9,6,0
252,0.35,0.48,3.1,0.09,5.0,21.0,3.17,0.53,10.5,5,0
253,0.775,0.42,1.9,0.092,8.0,86.0,3.23,0.59,9.5,5,0
254,0.6,0.0,1.8,0.07400000000000001,16.0,34.0,3.47,0.7,9.9,6,0
255,0.57,0.23,3.2,0.073,17.0,119.0,3.26,0.57,9.3,5,0
256,0.34,0.37,2.2,0.075,5.0,13.0,3.22,0.62,9.2,5,0
257,0.695,0.0,2.1,0.075,12.0,56.0,3.49,0.67,9.2,5,0
258,0.41,0.76,1.8,0.611,8.0,45.0,3.06,1.26,9.4,5,2
259,0.31,0.47,2.6,0.085,14.0,33.0,3.36,0.8,10.5,7,0
260,0.33,0.23,1.7,0.077,18.0,45.0,3.29,0.65,9.3,5,0
261,0.975,0.04,2.0,0.087,12.0,67.0,3.35,0.6,9.4,4,0
262,0.52,0.03,1.7,0.07,10.0,35.0,3.34,0.57,10.0,5,0
263,0.37,0.23,1.8,0.077,23.0,49.0,3.28,0.67,9.3,5,0
264,0.56,0.49,2.4,0.064,5.0,27.0,3.08,0.87,10.9,5,0
265,0.26,0.52,1.8,0.071,6.0,10.0,3.2,0.72,10.2,7,0
