,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,outlier_check
802,0.585,0.0,1.7,0.044000000000000004,14.0,86.0,3.56,0.94,12.9,7,0
803,0.56,0.08,2.5,0.114,14.0,46.0,3.24,0.66,9.6,6,0
804,0.52,0.22,2.7,0.084,4.0,18.0,3.26,0.57,9.9,6,0
805,0.28,0.4,2.4,0.052000000000000005,4.0,10.0,3.33,0.7,12.8,7,0
806,0.25,0.39,2.0,0.040999999999999995,4.0,10.0,3.27,0.71,12.5,7,0
807,0.28,0.4,2.4,0.052000000000000005,4.0,10.0,3.33,0.7,12.8,7,0
808,0.53,0.12,1.9,0.165,4.0,12.0,3.26,0.86,9.2,5,1
809,0.48,0.31,2.8,0.07,4.0,15.0,3.22,0.55,10.3,6,0
810,0.49,0.1,2.6,0.068,4.0,14.0,3.3,0.47,10.5,5,0
811,0.5,0.55,2.8,0.07200000000000001,7.0,24.0,3.09,0.68,10.9,6,0
812,0.45,0.33,2.5,0.099,20.0,38.0,3.24,0.71,10.8,5,0
813,0.39,0.24,2.1,0.102,4.0,7.0,3.44,0.58,11.4,4,0
814,0.41,0.54,2.8,0.10300000000000001,19.0,41.0,3.21,0.76,11.3,6,0
815,0.45,0.33,2.5,0.099,20.0,38.0,3.24,0.71,10.8,5,0
816,0.51,0.19,3.2,0.081,8.0,30.0,3.23,0.58,10.5,6,0
817,0.29,0.42,1.6,0.084,19.0,27.0,3.28,0.73,11.9,6,0
818,0.715,0.0,2.35,0.071,21.0,47.0,3.29,0.45,9.4,5,0
819,0.66,0.15,3.2,0.09699999999999999,9.0,59.0,3.28,0.54,9.6,5,0
820,0.685,0.0,1.9,0.099,9.0,22.0,3.34,0.6,9.7,5,0
821,0.42,0.0,2.1,0.048,16.0,42.0,3.71,0.74,14.0,7,2
822,0.54,0.13,2.0,0.076,15.0,36.0,3.61,0.64,9.8,5,0
823,0.54,0.13,2.0,0.076,15.0,36.0,3.61,0.64,9.8,5,0
824,0.48,0.28,2.8,0.068,6.0,16.0,3.24,0.53,10.3,5,0
825,0.46,0.14,2.8,0.076,15.0,37.0,3.36,0.49,10.7,5,0
826,0.27,0.34,2.3,0.05,4.0,8.0,3.4,0.64,11.0,7,0
827,0.46,0.14,2.8,0.076,15.0,37.0,3.36,0.49,10.7,5,0
828,0.57,0.09,2.3,0.065,34.0,45.0,3.46,0.74,12.7,8,1
829,0.61,0.08,2.1,0.071,16.0,24.0,3.56,0.77,11.1,6,0
830,0.685,0.07,2.5,0.057999999999999996,5.0,9.0,3.38,0.55,10.9,4,0
831,0.61,0.08,2.1,0.071,16.0,24.0,3.56,0.77,11.1,6,0
832,0.44,0.42,1.5,0.145,34.0,48.0,3.38,0.86,9.9,3,2
833,0.47,0.44,1.6,0.147,36.0,51.0,3.38,0.86,9.9,4,1
834,0.685,0.26,1.6,0.08800000000000001,16.0,23.0,3.32,0.47,9.4,5,0
835,0.665,0.1,1.5,0.066,27.0,55.0,3.39,0.51,9.3,5,0
836,0.28,0.28,2.4,0.012,36.0,100.0,3.26,0.39,11.7,7,1
837,0.28,0.28,2.4,0.012,36.0,100.0,3.26,0.39,11.7,7,1
838,0.31,0.35,1.6,0.075,9.0,28.0,3.24,0.83,11.2,7,0
839,0.5,0.04,2.2,0.092,13.0,26.0,3.46,0.47,10.0,5,0
840,0.42,0.47,2.65,0.085,9.0,34.0,3.24,0.77,12.1,7,0
841,0.66,0.0,3.0,0.115,21.0,31.0,3.45,0.63,10.3,5,0
842,0.5,0.45,2.6,0.11900000000000001,34.0,68.0,3.23,0.72,10.9,6,0
843,0.685,0.35,2.0,0.08800000000000001,9.0,92.0,3.28,0.62,9.4,5,0
844,0.25,0.46,1.7,0.062,26.0,42.0,3.18,0.83,10.6,6,0
845,0.64,0.21,1.8,0.081,14.0,31.0,3.59,0.66,9.8,5,0
846,0.64,0.21,1.8,0.081,14.0,31.0,3.59,0.66,9.8,5,0
847,0.68,0.16,1.8,0.078,12.0,39.0,3.5,0.7,9.9,6,0
848,0.64,0.21,1.8,0.081,14.0,31.0,3.59,0.66,9.8,5,0
849,0.63,0.21,1.6,0.08,12.0,32.0,3.58,0.66,9.8,5,0
850,0.43,0.44,1.9,0.085,9.0,22.0,3.28,0.55,9.5,5,0
851,0.43,0.44,1.9,0.085,9.0,22.0,3.28,0.55,9.5,5,0
852,0.42,0.32,2.5,0.08,26.0,122.0,3.22,1.07,9.7,5,1
853,0.36,0.39,1.5,0.08,41.0,55.0,3.47,0.73,10.9,6,0
854,0.36,0.39,1.5,0.08,41.0,55.0,3.47,0.73,10.9,6,0
855,0.735,0.02,2.5,0.071,10.0,14.0,3.51,0.71,11.7,7,0
856,0.36,0.39,1.5,0.08,41.0,55.0,3.47,0.73,10.9,6,0
857,0.26,0.34,2.5,0.073,16.0,47.0,3.4,0.78,11.3,7,0
858,0.28,0.47,1.7,0.054000000000000006,17.0,32.0,3.15,0.67,10.6,7,0
859,0.56,0.22,1.8,0.07400000000000001,15.0,24.0,3.4,0.82,11.2,6,0
860,0.62,0.06,2.7,0.077,15.0,85.0,3.51,0.54,9.5,5,0
861,1.01,0.66,2.0,0.039,15.0,88.0,3.66,0.6,11.5,6,1
862,0.42,0.32,2.7,0.067,7.0,25.0,3.24,0.44,10.4,5,0
863,0.62,0.06,2.5,0.078,17.0,84.0,3.51,0.53,9.7,5,0
864,0.62,0.06,2.7,0.077,15.0,85.0,3.51,0.54,9.5,5,0
865,0.635,0.07,2.6,0.077,16.0,86.0,3.51,0.54,9.7,5,0
866,0.49,0.22,2.3,0.071,13.0,24.0,3.41,0.83,11.3,6,0
867,0.51,0.23,2.0,0.07200000000000001,13.0,22.0,3.4,0.84,11.2,6,0
868,0.56,0.22,1.8,0.07400000000000001,15.0,24.0,3.4,0.82,11.2,6,0
869,0.63,0.03,2.0,0.08,27.0,43.0,3.44,0.64,10.9,6,0
870,0.715,0.01,2.1,0.064,31.0,43.0,3.41,0.57,11.8,6,0
871,0.56,0.03,1.5,0.086,36.0,46.0,3.53,0.57,10.6,5,0
872,0.35,0.24,2.0,0.067,28.0,48.0,3.43,0.54,10.0,4,0
873,0.21,0.37,1.6,0.067,6.0,10.0,3.23,0.58,11.1,7,0
874,0.38,0.46,2.1,0.10400000000000001,6.0,10.0,3.12,0.65,11.8,7,0
875,0.31,0.4,2.8,0.109,7.0,16.0,3.31,0.79,11.8,7,0
876,0.47,0.0,2.2,0.067,7.0,14.0,3.4,0.58,10.9,4,0
877,0.715,0.01,2.1,0.064,31.0,43.0,3.41,0.57,11.8,6,0
878,0.61,0.19,4.0,0.094,30.0,69.0,3.22,0.5,10.0,6,1
879,0.6,0.04,2.5,0.076,18.0,88.0,3.53,0.55,9.5,5,0
880,0.56,0.18,1.6,0.078,10.0,21.0,3.15,0.49,9.9,5,0
881,0.715,0.0,2.1,0.068,30.0,35.0,3.48,0.65,11.4,6,0
882,0.31,0.29,3.1,0.19399999999999998,14.0,26.0,3.22,0.78,12.0,6,1
883,0.6,0.04,2.5,0.076,18.0,88.0,3.53,0.55,9.5,5,0
884,0.61,0.19,4.0,0.094,30.0,69.0,3.22,0.5,10.0,6,1
885,0.75,0.14,2.5,0.086,9.0,30.0,3.34,0.64,10.5,5,0
886,0.8,0.12,2.4,0.083,8.0,28.0,3.33,0.65,10.4,6,0
887,0.52,0.38,2.6,0.066,29.0,56.0,3.15,0.79,12.1,7,0
888,0.57,0.0,2.5,0.07200000000000001,32.0,64.0,3.43,0.56,11.2,6,0
889,0.9,0.34,6.6,0.11199999999999999,23.0,99.0,3.22,0.68,9.3,5,1
890,0.34,0.24,2.0,0.071,30.0,52.0,3.44,0.58,10.1,5,0
891,0.66,0.03,2.3,0.078,16.0,86.0,3.53,0.57,9.7,5,0
892,0.45,0.23,1.9,0.08199999999999999,10.0,18.0,3.22,0.65,9.3,6,0
893,0.66,0.03,2.3,0.078,16.0,86.0,3.53,0.57,9.7,5,0
894,0.63,0.03,2.2,0.08,17.0,88.0,3.53,0.58,9.8,6,0
895,0.59,0.01,2.3,0.08,27.0,43.0,3.42,0.58,10.7,6,0
896,0.31,0.39,2.4,0.078,17.0,43.0,3.31,0.77,12.5,7,0
897,0.59,0.01,2.3,0.08,27.0,43.0,3.42,0.58,10.7,6,0
898,0.31,0.39,2.4,0.078,17.0,43.0,3.31,0.77,12.5,7,0
899,1.02,0.02,3.4,0.084,6.0,11.0,3.48,0.49,11.0,3,1
900,0.31,0.36,2.6,0.055999999999999994,10.0,39.0,3.4,0.69,11.8,5,0
901,0.635,0.1,2.4,0.08,16.0,33.0,3.58,0.69,10.8,7,0
902,0.635,0.1,2.4,0.08,16.0,33.0,3.58,0.69,10.8,7,0
903,0.59,0.06,6.0,0.06,11.0,18.0,3.41,0.59,10.8,7,1
904,0.59,0.06,6.0,0.06,11.0,18.0,3.41,0.59,10.8,7,1
905,0.58,0.2,3.0,0.081,15.0,115.0,3.23,0.59,9.5,5,0
906,0.54,0.27,2.6,0.084,12.0,78.0,3.39,0.71,11.0,5,0
907,0.56,0.0,2.2,0.079,6.0,9.0,3.59,0.54,11.5,6,0
908,0.52,0.13,2.4,0.078,34.0,61.0,3.43,0.59,10.8,6,0
909,0.305,0.39,1.2,0.059000000000000004,7.0,11.0,3.29,0.52,11.5,6,0
910,0.38,0.48,3.8,0.132,3.0,11.0,3.23,0.57,13.2,6,2
911,0.28,0.46,9.0,0.114,3.0,9.0,3.18,0.6,10.9,6,1
912,0.46,0.44,2.9,0.065,4.0,8.0,3.33,0.62,12.2,6,0
913,0.395,0.46,4.6,0.094,3.0,10.0,3.27,0.64,12.2,7,1
914,0.305,0.39,1.2,0.059000000000000004,7.0,11.0,3.29,0.52,11.5,6,0
915,0.315,0.4,2.2,0.079,3.0,6.0,3.27,0.67,11.9,6,0
916,0.715,0.19,1.5,0.161,7.0,62.0,3.62,0.61,11.0,5,1
917,0.41,0.31,8.8,0.084,26.0,45.0,3.38,0.64,10.1,6,1
918,0.36,0.32,2.2,0.081,32.0,79.0,3.3,0.72,11.0,6,0
919,0.62,0.12,1.8,0.07200000000000001,38.0,46.0,3.38,0.89,11.8,6,0
920,0.41,0.37,2.3,0.091,10.0,23.0,3.24,0.56,10.5,5,0
921,0.36,0.32,2.2,0.081,32.0,79.0,3.3,0.72,11.0,6,0
922,0.62,0.12,1.8,0.07200000000000001,38.0,46.0,3.38,0.89,11.8,6,0
923,0.41,0.31,8.8,0.084,26.0,45.0,3.38,0.64,10.1,6,1
924,0.47,0.27,2.3,0.055,14.0,28.0,3.18,0.8,11.2,5,0
925,0.22,0.36,1.9,0.064,53.0,77.0,3.47,0.87,11.0,7,1
926,0.24,0.33,2.3,0.061,52.0,73.0,3.47,0.9,10.2,6,1
927,0.67,0.19,2.2,0.09300000000000001,11.0,75.0,3.2,0.59,9.2,4,0
928,0.47,0.27,2.3,0.055,14.0,28.0,3.18,0.8,11.2,5,0
929,0.33,0.38,3.3,0.063,10.0,19.0,3.3,0.73,12.0,7,0
930,0.61,0.01,1.9,0.08,8.0,25.0,3.69,0.73,10.5,5,1
931,0.61,0.01,2.0,0.07400000000000001,13.0,38.0,3.48,0.65,9.8,5,0
932,0.4,0.29,1.9,0.078,29.0,66.0,3.45,0.59,9.5,6,0
933,0.61,0.01,2.0,0.07400000000000001,13.0,38.0,3.48,0.65,9.8,5,0
934,0.61,0.01,1.9,0.08,8.0,25.0,3.69,0.73,10.5,5,1
935,0.3,0.38,2.3,0.06,19.0,72.0,3.39,0.72,11.8,6,0
936,0.3,0.38,2.3,0.06,19.0,72.0,3.39,0.72,11.8,6,0
937,0.63,0.5,1.4,0.071,6.0,26.0,3.07,0.6,10.4,4,0
938,0.38,0.38,2.8,0.068,23.0,42.0,3.34,0.72,12.9,7,0
939,0.46,0.17,1.6,0.073,7.0,11.0,3.61,0.54,11.4,5,0
940,0.33,0.52,2.2,0.07400000000000001,13.0,25.0,3.36,0.76,12.4,7,0
941,0.27,0.49,5.0,0.08199999999999999,9.0,17.0,3.19,0.52,12.5,7,1
942,0.43,0.4,2.6,0.092,13.0,52.0,3.22,0.64,10.0,7,0
943,0.5,0.34,2.3,0.094,10.0,45.0,3.24,0.6,9.7,7,0
944,0.3,0.49,3.8,0.09,11.0,24.0,3.27,0.64,12.1,7,1
945,0.44,0.42,2.0,0.071,7.0,20.0,3.14,0.79,11.1,7,0
946,0.44,0.58,4.1,0.092,11.0,24.0,3.29,0.99,12.0,7,1
947,0.28,0.48,2.1,0.09300000000000001,6.0,12.0,3.26,0.62,12.4,7,0
948,0.12,0.45,1.8,0.075,10.0,21.0,3.41,0.76,11.9,7,0
949,0.12,0.45,1.8,0.075,10.0,21.0,3.41,0.76,11.9,7,0
950,0.12,0.45,1.8,0.075,10.0,21.0,3.41,0.76,11.9,7,0
951,0.28,0.48,2.1,0.09300000000000001,6.0,12.0,3.26,0.62,12.4,7,0
952,0.31,0.4,2.2,0.057999999999999996,6.0,10.0,3.31,0.68,11.2,7,0
953,0.34,0.48,2.1,0.052000000000000005,5.0,9.0,3.2,0.69,12.1,7,0
954,0.43,0.4,2.7,0.08199999999999999,6.0,11.0,3.44,0.54,12.2,6,0
955,0.21,0.52,1.9,0.09,9.0,23.0,3.36,0.67,10.4,5,0
956,0.36,0.52,2.1,0.111,5.0,10.0,3.31,0.62,11.3,6,0
957,0.37,0.52,2.0,0.08800000000000001,12.0,51.0,3.29,0.58,11.1,6,0
958,0.57,0.12,2.3,0.12,25.0,36.0,3.47,0.71,11.3,7,0
959,0.59,0.05,2.0,0.08900000000000001,12.0,32.0,3.36,0.61,10.0,5,0
960,0.47,0.27,1.9,0.057999999999999996,18.0,38.0,3.16,0.85,11.1,6,0
961,0.56,0.14,1.6,0.078,7.0,18.0,3.27,0.62,9.3,5,0
962,0.57,0.02,2.1,0.115,6.0,16.0,3.38,0.69,9.5,5,0
963,0.27,0.39,2.0,0.1,20.0,27.0,3.15,0.69,11.2,6,0
964,0.47,0.27,1.9,0.057999999999999996,18.0,38.0,3.16,0.85,11.1,6,0
965,0.34,0.4,2.4,0.065,24.0,48.0,3.34,0.86,11.0,6,0
966,0.38,0.41,2.4,0.10300000000000001,6.0,10.0,3.13,0.58,11.9,7,0
967,0.66,0.2,2.1,0.09699999999999999,23.0,113.0,3.13,0.48,9.2,5,0
968,0.4,0.43,2.4,0.068,29.0,46.0,3.2,0.6,12.2,6,0
969,0.56,0.09,2.9,0.079,7.0,22.0,3.46,0.61,10.2,5,0
970,0.26,0.48,1.9,0.066,6.0,10.0,3.33,0.87,10.9,6,0
971,0.26,0.48,1.9,0.066,6.0,10.0,3.33,0.87,10.9,6,0
972,0.38,0.5,2.4,0.10400000000000001,6.0,13.0,3.22,0.65,11.6,7,0
973,0.34,0.44,1.7,0.079,6.0,12.0,3.52,0.63,10.7,5,0
974,0.33,0.41,5.9,0.073,7.0,13.0,3.3,0.62,12.1,7,1
975,0.41,0.3,2.1,0.083,35.0,72.0,3.44,0.52,9.4,5,0
976,0.41,0.3,2.1,0.083,35.0,72.0,3.44,0.52,9.4,5,0
977,0.59,0.29,2.6,0.109,31.0,119.0,3.15,0.5,9.1,5,0
978,0.4,0.32,3.6,0.061,9.0,29.0,3.28,0.49,11.3,7,0
979,0.45,0.49,1.4,0.075,3.0,6.0,3.13,0.63,10.4,5,0
980,0.5,0.3,1.9,0.065,8.0,17.0,3.32,0.71,10.5,6,0
981,0.86,0.26,1.9,0.079,13.0,28.0,3.25,0.62,10.0,5,0
982,0.52,0.32,2.1,0.07,51.0,70.0,3.34,0.82,12.9,6,1
983,0.5,0.3,1.9,0.065,8.0,17.0,3.32,0.71,10.5,6,0
984,0.45,0.49,1.4,0.075,3.0,6.0,3.13,0.63,10.4,5,0
985,0.58,0.0,2.0,0.064,7.0,11.0,3.45,0.58,11.3,6,0
986,0.34,0.39,1.4,0.066,3.0,7.0,3.19,0.55,11.4,7,0
987,0.36,0.3,1.6,0.08,35.0,70.0,3.44,0.5,9.4,5,0
988,0.39,0.12,1.7,0.09699999999999999,19.0,27.0,3.16,0.49,9.4,5,0
989,0.295,0.4,1.5,0.073,14.0,21.0,3.14,0.51,10.9,6,0
990,0.39,0.12,1.7,0.09699999999999999,19.0,27.0,3.16,0.49,9.4,5,0
991,0.34,0.28,2.0,0.08199999999999999,31.0,68.0,3.45,0.48,9.4,5,0
992,0.4,0.1,2.0,0.076,30.0,47.0,3.36,0.48,9.4,6,0
993,0.34,0.28,2.0,0.08199999999999999,31.0,68.0,3.45,0.48,9.4,5,0
994,0.35,0.45,2.5,0.092,20.0,88.0,3.15,0.43,9.4,5,0
995,0.6,0.06,2.0,0.079,19.0,41.0,3.39,0.62,10.1,6,0
996,0.66,0.0,2.2,0.087,3.0,11.0,3.71,0.63,12.8,7,1
997,0.66,0.0,2.2,0.087,3.0,11.0,3.71,0.63,12.8,7,1
998,0.84,0.34,1.4,0.05,4.0,10.0,3.12,0.48,9.1,6,0
999,0.69,0.0,1.65,0.055,7.0,12.0,3.47,0.53,12.9,6,0
1000,0.43,0.3,2.2,0.062,6.0,12.0,3.44,0.72,11.5,7,0
1001,0.35,0.38,1.5,0.057999999999999996,31.0,47.0,3.26,0.82,10.6,7,0
1002,0.29,0.33,2.05,0.063,13.0,27.0,3.26,0.84,11.7,7,0
1003,0.36,0.32,1.8,0.067,4.0,8.0,3.36,0.55,12.8,7,0
1004,0.43,0.29,1.6,0.081,27.0,45.0,3.25,0.54,10.3,5,0
1005,0.36,0.32,1.8,0.067,4.0,8.0,3.36,0.55,12.8,7,0
1006,0.29,0.33,2.05,0.063,13.0,27.0,3.26,0.84,11.7,7,0
1007,0.3,0.34,2.0,0.064,12.0,25.0,3.26,0.84,11.7,7,0
1008,0.35,0.4,3.6,0.11,12.0,24.0,3.23,0.7,12.0,7,0
1009,0.5,0.36,2.8,0.11599999999999999,26.0,55.0,3.18,0.68,10.9,5,0
1010,0.28,0.45,1.7,0.067,7.0,12.0,3.25,0.55,12.3,7,0
1011,0.32,0.31,2.0,0.08800000000000001,12.0,19.0,3.17,0.55,10.4,6,0
1012,1.005,0.15,2.1,0.102,11.0,32.0,3.23,0.48,10.0,5,0
1013,0.71,0.0,1.6,0.092,22.0,31.0,3.38,0.58,10.0,6,0
1014,0.58,0.16,2.0,0.12,3.0,7.0,3.22,0.58,11.2,6,0
1015,0.39,0.46,2.2,0.075,14.0,27.0,3.06,0.84,11.4,6,0
1016,0.38,0.4,2.2,0.068,12.0,28.0,3.27,0.75,12.6,7,0
1017,0.18,0.37,0.9,0.049,36.0,109.0,2.89,0.44,12.7,6,1
1018,0.18,0.37,0.9,0.049,36.0,109.0,2.89,0.44,12.7,6,1
1019,0.5,0.14,1.8,0.078,10.0,23.0,3.53,0.61,10.4,5,0
1020,0.36,0.66,2.4,0.12300000000000001,3.0,8.0,3.2,0.53,11.9,6,1
1021,0.36,0.66,2.4,0.12300000000000001,3.0,8.0,3.2,0.53,11.9,6,1
1022,0.51,0.09,2.1,0.062,4.0,9.0,3.35,0.54,10.5,5,0
1023,0.32,0.42,2.3,0.098,3.0,9.0,3.27,0.55,12.3,6,0
1024,0.58,0.01,1.8,0.08800000000000001,12.0,18.0,3.32,0.56,10.5,7,0
1025,0.83,0.0,2.8,0.095,17.0,43.0,3.33,0.6,10.4,6,0
1026,0.31,0.32,1.9,0.066,14.0,36.0,3.41,0.56,12.6,6,0
1027,0.795,0.0,2.2,0.065,28.0,52.0,3.49,0.52,11.6,5,0
1028,0.34,0.21,2.5,0.075,41.0,68.0,3.37,0.54,10.1,6,0
1029,0.58,0.01,1.8,0.08800000000000001,12.0,18.0,3.32,0.56,10.5,7,0
1030,0.59,0.0,2.1,0.091,9.0,14.0,3.42,0.55,11.5,7,0
1031,0.55,0.01,1.8,0.09300000000000001,9.0,15.0,3.35,0.58,11.0,7,0
1032,0.82,0.0,4.1,0.095,5.0,14.0,3.36,0.53,9.6,5,1
1033,0.57,0.08,2.6,0.08900000000000001,14.0,27.0,3.3,0.59,10.4,6,0
1034,0.745,0.18,2.5,0.077,15.0,48.0,3.2,0.47,9.7,6,0
1035,0.37,0.34,2.4,0.085,5.0,17.0,3.17,0.65,10.6,7,0
1036,0.31,0.34,2.5,0.08199999999999999,26.0,35.0,3.22,0.59,12.5,7,0
1037,0.91,0.1,1.8,0.07400000000000001,20.0,56.0,3.35,0.56,9.2,5,0
1038,0.41,0.41,6.2,0.078,25.0,42.0,3.24,0.77,12.6,7,1
1039,0.5,0.21,2.2,0.08800000000000001,21.0,39.0,3.33,0.83,11.1,6,0
1040,0.965,0.0,2.2,0.08800000000000001,16.0,32.0,3.58,0.67,10.2,5,0
1041,0.49,0.19,1.7,0.079,13.0,26.0,3.38,0.64,9.8,6,0
1042,0.5,0.21,2.2,0.08800000000000001,21.0,39.0,3.33,0.83,11.1,6,0
1043,0.39,0.41,8.9,0.069,18.0,39.0,3.29,0.81,10.9,7,1
1044,0.39,0.33,3.3,0.046,12.0,53.0,3.36,0.62,12.2,6,0
1045,0.44,0.0,1.4,0.07,32.0,38.0,3.32,0.58,11.4,6,0
1046,0.78,0.0,1.7,0.076,33.0,45.0,3.31,0.62,10.7,6,0
1047,0.43,0.17,1.8,0.08199999999999999,27.0,51.0,3.49,0.64,10.4,5,0
1048,0.49,0.36,1.7,0.081,3.0,14.0,3.27,0.78,10.9,6,0
1049,0.5,0.36,1.8,0.084,6.0,17.0,3.27,0.77,10.8,6,0
1050,0.43,0.17,1.8,0.08199999999999999,27.0,51.0,3.49,0.64,10.4,5,0
1051,0.46,0.59,1.4,0.414,16.0,45.0,3.03,1.34,9.2,5,2
1052,0.605,0.05,2.4,0.073,19.0,25.0,3.56,0.55,12.9,5,0
1053,0.33,0.42,2.3,0.07,9.0,20.0,3.38,0.77,12.7,7,0
1054,0.64,0.27,2.0,0.095,5.0,77.0,3.13,0.62,9.1,6,0
1055,0.64,0.27,2.0,0.095,5.0,77.0,3.13,0.62,9.1,6,0
1056,0.48,0.53,4.0,0.10099999999999999,3.0,10.0,3.21,0.59,12.1,7,1
1057,0.42,0.25,3.9,0.10400000000000001,28.0,90.0,3.15,0.57,9.1,5,1
1058,0.53,0.57,2.4,0.09300000000000001,30.0,52.0,3.19,0.76,11.6,7,0
1059,0.48,0.53,4.0,0.10099999999999999,3.0,10.0,3.21,0.59,12.1,7,1
1060,0.23,0.57,1.8,0.07400000000000001,3.0,8.0,3.14,0.7,9.9,6,0
1061,0.4,0.5,1.8,0.071,7.0,16.0,3.21,0.69,12.5,8,1
1062,0.38,0.44,1.9,0.098,6.0,15.0,3.3,0.64,11.4,6,0
1063,0.29,0.65,2.4,0.075,6.0,17.0,3.22,0.63,11.8,6,0
1064,0.74,0.09,2.0,0.067,5.0,10.0,3.28,0.57,11.8,6,0
1065,0.61,0.18,2.4,0.083,6.0,20.0,3.29,0.6,10.2,6,0
1066,0.52,0.08,2.4,0.07,13.0,26.0,3.4,0.72,12.5,7,0
1067,0.31,0.53,2.2,0.06,3.0,10.0,3.02,0.83,10.9,7,0
